uID,link, desig, details, org, loc, exp, keyskills, descl, salary 
681,https://www.naukri.com/job-listings-Software-Project-Manager-VIPSHA-Ahmedabad-3-to-8-years-211116500314?src=jobsearchDesk&sid=14957739725384&xp=7,Software Project Manager,Software Project Manager,VIPSHA,Ahmedabad,3-8 yrs,development project management agile scrum information technology test...,,Not disclosed
682,https://www.naukri.com/job-listings-Service-Desk-Analyst-Allscripts-pune-Allscripts-India-pvt-ltd-Pune-2-to-4-years-050117000008?src=jobsearchDesk&sid=14957739725384&xp=8,Service Desk Analyst - Allscriptspune,Service Desk Analyst - Allscriptspune,Allscripts India pvt. ltd.,Pune,2-4 yrs,Technical Support Networking IT Service Desk ITIL Windows Office...,,Not disclosed
683,https://www.naukri.com/job-listings-Jr-Business-Analyst-Biztech-IT-Consultancy-Pvt-Ltd-Ahmedabad-0-to-1-years-210815504063?src=jobsearchDesk&sid=14957739725384&xp=9,Jr. Business Analyst,Jr. Business Analyst,Biztech IT Consultancy Pvt. Ltd,Ahmedabad,0-1 yrs,mba development customer relationship information technology english...,,Not disclosed
684,https://www.naukri.com/job-listings-Software-Developer-Fiserv-India-Pvt-Ltd-Hyderabad-5-to-7-years-250517900372?src=jobsearchDesk&sid=14957739725384&xp=10,Software Developer,Software Developer,Fiserv India Pvt Ltd,Hyderabad,5-7 yrs,SQL Server Development C# WCF VB.NET .Net Software Engineering C++...,Job Purpose    RESPONSIBILITIES:        Responsible for working US based hours. ...,Not disclosed
685,https://www.naukri.com/job-listings-Technical-Support-Consultant-Unify-Square-Inc-Gurgaon-5-to-7-years-121015500025?src=jobsearchDesk&sid=14957739725384&xp=11,Technical Support Consultant,Technical Support Consultant,Unify Square Inc.,Gurgaon,5-7 yrs,technical support service customer support server wan voip outlook...,,Not disclosed
686,https://www.naukri.com/job-listings-Senior-Project-Manager-Verbat-Technologies-Trivandrum-7-to-12-years-091015500275?src=jobsearchDesk&sid=14957739725384&xp=12,Senior Project Manager,Senior Project Manager,Verbat Technologies,Trivandrum,7-12 yrs,business development travel bidding project management ba tools...,,Not disclosed
687,https://www.naukri.com/job-listings-Senior-Project-Manager-Verbat-Technologies-Trivandrum-3-to-8-years-091015500015?src=jobsearchDesk&sid=14957739725384&xp=13,Senior Project Manager,Senior Project Manager,Verbat Technologies,Trivandrum,3-8 yrs,business development development travel bidding project management ba...,,Not disclosed
688,https://www.naukri.com/job-listings-Senior-Business-analyst-Value-Consulting-Mumbai-5-to-10-years-070715500123?src=jobsearchDesk&sid=14957739725384&xp=14,Senior Business analyst,Senior Business analyst,Value Consulting,Mumbai,5-10 yrs,pre sales development erp project management ba information technology...,,Not disclosed
689,https://www.naukri.com/job-listings-sr-Manager-it-Systems-food-Company-Randstad-India-Limited-Mumbai-7-to-12-years-070417901759?src=jobsearchDesk&sid=14957739725384&xp=15,sr. Manager it Systems food Company,sr. Manager it Systems food Company,Randstad India Limited,Mumbai,7-12 yrs,Six Sigma SFDC Avaya sub - system aircraft interface PMP SAN Storage...,Key Performance Drivers   Manage information technology infrastructure systems   Plan  ...,Not disclosed
690,https://www.naukri.com/job-listings-Technical-Project-Manager-Kavayah-Solutions-Inc-Hyderabad-7-to-10-years-051115500863?src=jobsearchDesk&sid=14957739725384&xp=16,Technical Project Manager,Technical Project Manager,Kavayah Solutions Inc,Hyderabad,7-10 yrs,information technology proactive pm project planning java php...,,Not disclosed
691,https://www.naukri.com/job-listings-Software-Developer-Techvedic-Technologies-Pvt-Ltd-Delhi-Delhi-1-to-6-years-040815503067?src=jobsearchDesk&sid=14957739725384&xp=17,Software Developer,Software Developer,Techvedic Technologies Pvt Ltd,Delhi Delhi,1-6 yrs,sql sql server development wcf technical support mvc visual studio...,,Not disclosed
692,https://www.naukri.com/job-listings-Staff-IT-Systems-Specialist-Arris-India-Private-Limited-Bengaluru-6-to-10-years-270217007827?src=jobsearchDesk&sid=14957739725384&xp=18,Staff IT Systems Specialist,Staff IT Systems Specialist,Arris India Private Limited,Bengaluru,6-10 yrs,KVM Open Source GIT CVS Virtualization System Support Build Tools...,,Not disclosed
693,https://www.naukri.com/job-listings-Lead-Infrastructure-Technology-Networking-24x7-Helm-Analytics-Pvt-Ltd-Noida-Sector-16-Noida-8-to-12-years-240317004349?src=jobsearchDesk&sid=14957739725384&xp=19,Lead Infrastructure Technology- Networking (24x7),Lead Infrastructure Technology- Networking (24x7),Helm Analytics Pvt Ltd,Noida(Sector-16 Noida),8-12 yrs,routers Networking Infrastructure Management switches firewall...,  PLEASE APPLY IF YOU CAN JOIN IN MAXIMUM 30 DAYS NOTICE ...,800000 - 1200000 P.A.
694,https://www.naukri.com/job-listings-Sr-Engineer-Application-Support-iQor-Noida-6-to-8-years-210916008680?src=jobsearchDesk&sid=14957739725384&xp=20,Sr. Engineer Application Support,Sr. Engineer Application Support,iQor,Noida,6-8 yrs,Web Services .NET Framework SQL Server Rest C# Stored Procedures...,,800000 - 1000000 P.A.
695,https://www.naukri.com/job-listings-Practice-Head-for-Cyber-Security-forensic-Based-at-Ahmedabad-Gateway-Group-of-Companies-Ahmedabad-10-to-20-years-200417008343?src=jobsearchDesk&sid=14957739725384&xp=21,Practice Head for Cyber Security/forensic Based at Ahmedabad,Practice Head for Cyber Security/forensic Based at Ahmedabad,Gateway Group of Companies,Ahmedabad,10-20 yrs,cyber security Cyber Security Digital Forensics Cyber Forensics, I'm consulting a Cyber ...,1000000 - 2000000 P.A.
696,https://www.naukri.com/job-listings-Application-Developer-Java-JPMorgan-Chase-Hyderabad-5-to-6-years-130417900975?src=jobsearchDesk&sid=14957739725384&xp=22,Application Developer - Java,Application Developer - Java,JPMorgan Chase,Hyderabad,5-6 yrs,Technical skills J2Ee SQL Unix XML Web services Perl Solaris AIX...,Roles &amp; Responsibilities -     Initial investigation  solution identification and sizing. ...,Not disclosed
697,https://www.naukri.com/job-listings-Devops-Lead-with-CMMI-Level-5-Company-Bangalore-Location-Nous-Info-Systems-Pvt-Ltd-Bengaluru-7-to-10-years-100417006732?src=jobsearchDesk&sid=14957739725384&xp=23,Devops Lead with CMMI Level 5 Company @ Bangalore Location,Devops Lead with CMMI Level 5 Company @ Bangalore Location,Nous Info Systems Pvt Ltd,Bengaluru,7-10 yrs,Devops Devops engineer Jenkins Java CI CD,About Nous  Nous Infosystems is a CMMI Level 5 and ISO 9001:2000 certified global information ...,Not disclosed
698,https://www.naukri.com/job-listings-Senior-Clinical-System-Administrator-PRA-Health-Sciences-Chennai-3-to-6-years-080317007757?src=jobsearchDesk&sid=14957739725384&xp=24,Senior Clinical System Administrator,Senior Clinical System Administrator,PRA Health Sciences,Chennai,3-6 yrs,Oracle Clinical Technical Support System Administration system admin, Summary : The Senior Clinical System Administrator is responsible for the deployment ...,Not disclosed
699,https://www.naukri.com/job-listings-Advisor-IT-Development-Dell-Hyderabad-6-to-8-years-040417901075?src=jobsearchDesk&sid=14957739725384&xp=25,Advisor IT Development,Advisor IT Development,Dell,Hyderabad,6-8 yrs,SQL Unix Project management SOA Shell scripting PLSQL...,*   Job Description:        The Software Dev Advisor is responsible for performing analysis ...,Not disclosed
700,https://www.naukri.com/job-listings-Network-Engineer-Fiserv-India-Pvt-Ltd-Hyderabad-3-to-5-years-250517900050?src=jobsearchDesk&sid=14957739725384&xp=26,Network Engineer,Network Engineer,Fiserv India Pvt Ltd,Hyderabad,3-5 yrs,OSPF EIGRP Bgp Networking Switching QOS Routing Protocols VPN WAN...,- Candidate will be responsible for analyzing developing interpreting and evaluating network system ...,Not disclosed
701,https://www.naukri.com/job-listings-Network-Dev-Sr-Principal-Engineer-nms-Django-Python-Netconf-Dell-International-Services-India-Private-Limited-Chennai-10-to-20-years-250517006243?src=jobsearchDesk&sid=14957739725384&xp=27,Network Dev Sr. Principal Engineer (nms Django Python Netconf),Network Dev Sr. Principal Engineer (nms Django Python Netconf),Dell International Services India  Private Limited,Chennai,10-20 yrs,Networking Products Switching Network Engineering Data Center Ansible...,   Key Responsibilities: ...,4000000 - 8000000 P.A.
702,https://www.naukri.com/job-listings-Network-Dev-Principal-Engineer-C-Linux-CLI-Netconf-Snmp-Rest-Dell-International-Services-India-Private-Limited-Chennai-8-to-13-years-250517006185?src=jobsearchDesk&sid=14957739725384&xp=28,Network Dev Principal Engineer (C Linux CLI Netconf Snmp Rest),Network Dev Principal Engineer (C Linux CLI Netconf Snmp Rest),Dell International Services India  Private Limited,Chennai,8-13 yrs,Linux C Networking Debugging Programming CLI NetConf REST API SNMP,   Candidate is expected to work on the management infrastructure of Dell's open networking ...,2500000 - 4000000 P.A.
703,https://www.naukri.com/job-listings-CMD-Analyst-Configuration-Management-Database-Analyst-immediate-Join-Euphoria-Technologies-Pvt-Ltd-Mumbai-Ghansoli-Navi-Mumbai-5-to-10-years-220517001542?src=jobsearchDesk&sid=14957739725384&xp=29,CMD Analyst / Configuration Management Database Analyst*immediate Join,CMD Analyst / Configuration Management Database Analyst*immediate Join,Euphoria Technologies Pvt. Ltd.,Mumbai(Ghansoli) Navi Mumbai,5-10 yrs,SQL Queries ITIL CMDB ITSM Service Delivery Configuration Management..., Please apply only if you can join Immidiatly.     Budget is open for ...,500000 - 1500000 P.A.
704,https://www.naukri.com/job-listings-Lecturer-Information-Technology-Adesh-group-of-Institutions-Bathinda-4-to-7-years-300416500735?src=jobsearchDesk&sid=14957739725384&xp=30,Lecturer- Information Technology,Lecturer- Information Technology,Adesh group of Institutions,Bathinda,4-7 yrs,Teaching Educator Counselor Mentor Trainer Advisor Lecturer...,,Not disclosed
705,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-IT-IPEC-Ghaziabad-Ghaziabad-3-to-6-years-061015501197?src=jobsearchDesk&sid=14957739725384&xp=31,Assistant Professor- Information Technology (IT).,Assistant Professor- Information Technology (IT).,IPEC,Ghaziabad Ghaziabad,3-6 yrs,Teaching  Lecturer  Professor  Trainer   Teachers Assistant Professor-...,,Not disclosed
706,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-Kingston-engineering-college-Vellore-Vellore-3-to-6-years-020116501233?src=jobsearchDesk&sid=14957739725384&xp=32,Assistant Professor- Information Technology ,Assistant Professor- Information Technology ,Kingston engineering college,Vellore Vellore,3-6 yrs,Teaching Educator Counselor Mentor Trainer Advisor...,,Not disclosed
707,https://www.naukri.com/job-listings-Software-Engineer-iii-teradata-corporations-Hyderabad-7-to-12-years-300317901065?src=jobsearchDesk&sid=14957739725384&xp=33,Software Engineer (iii),Software Engineer (iii),teradata corporations,Hyderabad,7-12 yrs,SQL Unix Windows Python Teradata Data structures Open source RDBMS...,Position Title : Software Engineer     Job Location : Hyderabad     Summary Description: ...,Not disclosed
708,https://www.naukri.com/job-listings-Software-Engineer-IV-teradata-corporations-Hyderabad-8-to-13-years-300317901064?src=jobsearchDesk&sid=14957739725384&xp=34,Software Engineer (IV),Software Engineer (IV),teradata corporations,Hyderabad,8-13 yrs,SQL Unix Windows Python Teradata Data structures Open source RDBMS...,Position Title : Software Engineer     Job Location : Hyderabad     Summary Description: ...,Not disclosed
709,https://www.naukri.com/job-listings-Opening-with-Sara-Textiles-Ltd-for-Sr-Manager-Marketing-Noida-Sara-Textiles-Ltd-Noida-12-to-22-years-240317007111?src=jobsearchDesk&sid=14957739725384&xp=35,Opening with Sara Textiles Ltd for Sr. Manager - Marketing @ Noida,Opening with Sara Textiles Ltd for Sr. Manager - Marketing @ Noida,Sara Textiles Ltd.,Noida,12-22 yrs,New Business Development Marketing Management Key Account Management...,1) Business  Development  &amp; Client Management   Overall responsibility for new business ...,Not disclosed
710,https://www.naukri.com/job-listings-NOC-Engineer-Bangalore-Engage-IT-Service-Pvt-Ltd-Bengaluru-1-to-3-years-240417001961?src=jobsearchDesk&sid=14957739725384&xp=36,NOC Engineer - Bangalore,NOC Engineer - Bangalore,Engage IT Service Pvt. Ltd.,Bengaluru,1-3 yrs,Networking WAN Hardware NOC Troubleshooting VOIP CCNA CCNP, Raise tickets in the tool from the information received by customer on call or via email and ...,Not disclosed
711,https://www.naukri.com/job-listings-Presales-Manager-Aws-azure-Sify-Limited-Noida-Sector-132-Noida-8-to-13-years-140417001038?src=jobsearchDesk&sid=14957739725384&xp=37,Presales Manager - Aws/azure,Presales Manager - Aws/azure,Sify Limited,Noida(Sector-132 Noida),8-13 yrs,Presales Pre - Sales Pre Sales AWS Azure Solution Architect AWS Sales...,JOB TITLE:  Specialist - AWS-Azure  LOCATION: Noida/ Bangalore/ Mumbai/ Chennai ...,Not disclosed
712,https://www.naukri.com/job-listings-Technical-Lead-Security-Continuum-Managed-Solutions-Private-Limited-Pune-15-to-25-years-120417000051?src=jobsearchDesk&sid=14957739725384&xp=38,Technical Lead- Security,Technical Lead- Security,Continuum Managed Solutions Private Limited,Pune,15-25 yrs,Networking SIEM Information Security Imperva Switching Firewall..., Overview:     Overall IT experience of 15 + years in which 10 + years of core ...,Not disclosed
713,https://www.naukri.com/job-listings-Scrum-Master-JPMorgan-Chase-Hyderabad-5-to-8-years-290417900559?src=jobsearchDesk&sid=14957739725384&xp=39,Scrum Master,Scrum Master,JPMorgan Chase,Hyderabad,5-8 yrs,Scrum Customer service Business Analyst Project management...,Job Description     Chase Consumer and Community Banking (CCB) serves 50 million customers with ...,Not disclosed
714,https://www.naukri.com/job-listings-Information-Risk-Lead-JPMorgan-Chase-Bengaluru-8-to-10-years-290417900556?src=jobsearchDesk&sid=14957739725384&xp=40,Information Risk Lead,Information Risk Lead,JPMorgan Chase,Bengaluru,8-10 yrs,Consulting Information technology Monitoring Auditing CISA...,J.P. Morgan is a leading global financial services firm  established over 200 years ago:     We ...,Not disclosed
715,https://www.naukri.com/job-listings-Technology-Transformation-Lead-SAP-Finance-JPMorgan-Chase-Bengaluru-10-to-13-years-290417900537?src=jobsearchDesk&sid=14957739725384&xp=41,Technology Transformation Lead - SAP Finance,Technology Transformation Lead - SAP Finance,JPMorgan Chase,Bengaluru,10-13 yrs,Application development ERP SDLC Investment banking...,Global GL Application Development Manager     JPMorgan Chase &amp; Co. (NYSE: JPM) is a leading ...,Not disclosed
716,https://www.naukri.com/job-listings-SCPP-Custody-Natural-adabas-Application-Developer-Bangalore-JPMorgan-Chase-Bengaluru-5-to-10-years-290417900526?src=jobsearchDesk&sid=14957739725384&xp=42,SCPP Custody Natural/adabas Application Developer - Bangalore,SCPP Custody Natural/adabas Application Developer - Bangalore,JPMorgan Chase,Bengaluru,5-10 yrs,Application Cobol JCL Cics Application development Coding Debugging...,The Custody &amp; Fund Services Middle Office provides cross line of business shared technology services ...,Not disclosed
717,https://www.naukri.com/job-listings-Executive-Assistant-to-The-Director-Marketing-Operation-with-Toshali-Toshali-Resorts-International-Unit-of-TK-International-Limited-Delhi-NCR-5-to-6-years-290417002598?src=jobsearchDesk&sid=14957739725384&xp=43,Executive Assistant to The Director Marketing & Operation with Toshali,Executive Assistant to The Director Marketing & Operation with Toshali,Toshali Resorts International(Unit of TK International Limited),Delhi NCR,5-6 yrs,Planning Information Technology,To perform clerical tasks like accepting and making phone calls setting business meeting agendas ...,250000 - 300000 P.A.
718,https://www.naukri.com/job-listings-Audit-Manager-Audit-Executive-Pipalia-Singhal-and-Associates-Mumbai-0-to-3-years-290417002043?src=jobsearchDesk&sid=14957739725384&xp=44,Audit Manager / Audit Executive,Audit Manager / Audit Executive,Pipalia Singhal  and Associates,Mumbai,0-3 yrs,Accounting Auditing Finance Internal Audit Audit Management...,Perform Risk Based Internal Audits as part of team - apply Internal Audit Techniques in areas related to ...,Not disclosed
719,https://www.naukri.com/job-listings-CT-RDT-Instrument-Technical-Business-Analyst-JPMorgan-Chase-Hyderabad-4-to-9-years-280417900305?src=jobsearchDesk&sid=14957739725384&xp=45,CT RDT Instrument Technical Business Analyst,CT RDT Instrument Technical Business Analyst,JPMorgan Chase,Hyderabad,4-9 yrs,Financial services Investment banking Oracle Information technology...,About JPMorgan Chase &amp; Co.    JPMorgan Chase &amp; Co. (NYSE: JPM) is a leading global financial ...,Not disclosed
720,https://www.naukri.com/job-listings-DITA-Sr-Principal-Engr-Dell-Bengaluru-3-to-8-years-280417900230?src=jobsearchDesk&sid=14957739725384&xp=46,DITA Sr Principal Engr,DITA Sr Principal Engr,Dell,Bengaluru,3-8 yrs,Senior Design Engineer Principal Troubleshooting Publishing...,DITA Sr Principal Engr: 170008C6             Welcome to the world s largest startup  -  Dell ...,Not disclosed
721,https://www.naukri.com/job-listings-Technology-Solution-Professional-MTC-ARCH-Microsoft-India-R-and-D-Pvt-Ltd-Bengaluru-8-to-10-years-280417900179?src=jobsearchDesk&sid=14957739725384&xp=47,Technology Solution Professional MTC ARCH,Technology Solution Professional MTC ARCH,Microsoft India (R and D) Pvt Ltd,Bengaluru,8-10 yrs,SQL Oracle PHP MySQL microsoft Troubleshooting Presales...,Purpose        The Microsoft Technology Center (MTC) is state - of - the - art facility that ...,Not disclosed
722,https://www.naukri.com/job-listings-Project-Coordinator-for-USA-Healthcare-Technology-Company-Eli-Global-Chennai-8-to-13-years-280417006094?src=jobsearchDesk&sid=14957739725384&xp=48,Project Coordinator for USA Healthcare Technology Company,Project Coordinator for USA Healthcare Technology Company,Eli Global,Chennai,8-13 yrs,Project Coordination project management project planning HIPAA...,  The Project Coordinator will:     manage all aspects of complex projects ...,Not disclosed
723,https://www.naukri.com/job-listings-Senior-Developer-Iphone-Android-Application-IPE-Global-Limited-Kolkata-3-to-6-years-280417003662?src=jobsearchDesk&sid=14957739725384&xp=49,Senior Developer - Iphone/ Android Application,Senior Developer - Iphone/ Android Application,IPE Global Limited,Kolkata,3-6 yrs,Android Application IPhone Application Development...,IPE Global invites applications from the qualified candidates in the Information Technology Unit New ...,350000 - 500000 P.A.
724,https://www.naukri.com/job-listings-Developer-PHP-IPE-Global-Limited-Kolkata-3-to-6-years-280417003614?src=jobsearchDesk&sid=14957739725384&xp=50,Developer - PHP,Developer - PHP,IPE Global Limited,Kolkata,3-6 yrs,Test Cases QC QA Application Development Test Driven Development...,IPE Global invites applications from the qualified candidates in the Information Technology Unit in New ...,300000 - 450000 P.A.
725,https://www.naukri.com/job-listings-Senior-Developer-Java-IPE-Global-Limited-Kolkata-4-to-7-years-280417003526?src=jobsearchDesk&sid=14957739745133&xp=1,Senior Developer - Java,Senior Developer - Java,IPE Global Limited,Kolkata,4-7 yrs,J2Ee Java Test Cases QC QA Application Development...,IPE Global invites applications from the qualified candidates in the Information Technology Unit in New ...,350000 - 500000 P.A.
726,https://www.naukri.com/job-listings-Senior-Software-Engineer-Deployment-Prime-CGI-Information-Systems-and-Management-ConsultantsPrivate-Limited-Bengaluru-4-to-6-years-260417900029?src=jobsearchDesk&sid=14957739745133&xp=2,Senior Software Engineer Deployment Prime,Senior Software Engineer Deployment Prime,CGI Information Systems and Management ConsultantsPrivate Limited,Bengaluru,4-6 yrs,Ariba Software Engineering Information Technology Technology Solutions..., Position Description:  The candidate is responsible for the analysis design construction ...,Not disclosed
727,https://www.naukri.com/job-listings-Sr-software-Engineer-Object-Technology-Solutions-India-Pvt-Ltd-Hyderabad-5-to-7-years-280417000532?src=jobsearchDesk&sid=14957739745133&xp=3,Sr.software Engineer,Sr.software Engineer,Object Technology Solutions India Pvt. Ltd,Hyderabad,5-7 yrs,Java Hibernate Spring IT Recruitment Tagging Application Development...,Hi  Greetings from Object Technology Solutions India Pvt Ltd (OTSI) ... We have urgent ...,Not disclosed
728,https://www.naukri.com/job-listings-Opportunity-for-Technical-Executive-s-Datamatics-Global-services-Ltd-Mumbai-Navi-Mumbai-Mumbai-Suburbs-1-to-3-years-260417005510?src=jobsearchDesk&sid=14957739745133&xp=4,Opportunity for Technical Executive,Opportunity for Technical Executive,Datamatics Global services Ltd.,Mumbai Navi Mumbai Mumbai Suburbs,1-3 yrs,Night Shift Computer Skills html xml technical IT...,,Not disclosed
729,https://www.naukri.com/job-listings-Manager-sales-SAP-Solutions-Opportunity-with-Aakit-Technologies-Aakit-Technologies-Pvt-Ltd-Mumbai-2-to-6-years-270417006779?src=jobsearchDesk&sid=14957739745133&xp=5,Manager (sales) -SAP Solutions Opportunity with Aakit Technologies,Manager (sales) -SAP Solutions Opportunity with Aakit Technologies,Aakit Technologies Pvt. Ltd.,Mumbai,2-6 yrs,Software Solution Sales ERP Sales Sales Management Sales Achievement it...,Manager (Sales) -SAP Solutions   LOCATION:- Mumbai  JOB DESCRIPTION:  - Sell SAP ...,250000 - 500000 P.A.
730,https://www.naukri.com/job-listings-Consultant-PI-Delhi-Ernst-Young-Delhi-3-to-6-years-230217900680?src=jobsearchDesk&sid=14957739745133&xp=6,Consultant - PI - Delhi,Consultant - PI - Delhi,Ernst Young,Delhi,3-6 yrs,Technical support Service Information technology Supply chain...,Supply Chain IT officer      Duty Station : Regional level       Responsibility ...,Not disclosed
731,https://www.naukri.com/job-listings-Office-365-Administrator-Ametek-Instruments-India-Private-Limited-Bengaluru-6-to-9-years-270417000009?src=jobsearchDesk&sid=14957739745133&xp=7,Office 365 Administrator,Office 365 Administrator,Ametek Instruments India Private Limited,Bengaluru,6-9 yrs,Office 365 Sharepoint Administration IT Information Technology...,,Not disclosed
732,https://www.naukri.com/job-listings-Inside-Sales-Specialist-US-Market-HTC-Global-Services-India-Pvt-Ltd-Chennai-2-to-6-years-100517001326?src=jobsearchDesk&sid=14957739745133&xp=8,Inside Sales Specialist - US Market,Inside Sales Specialist - US Market,HTC Global Services (India) Pvt. Ltd.,Chennai,2-6 yrs,Inside Sales US Market IT Selling software selling it sales...,We are looking for Inside Sales Specialist with the below experience.    Male / ...,Not disclosed
733,https://www.naukri.com/job-listings-Business-Analyst-Xybion-India-Private-Limited-Chennai-2-to-3-years-261216002109?src=jobsearchDesk&sid=14957739745133&xp=9,Business Analyst,Business Analyst,Xybion India Private Limited,Chennai,2-3 yrs,Strong Interpersonal Skills Written Communication Analytical Skills...,"Please find below the JD for BA.    should have maximun expirence of 2-4 Yrs 	Experience in ...",375000 - 400000 P.A.
734,https://www.naukri.com/job-listings-Technical-Recruiter-Corporate-IRIS-SOFTWARE-PVT-LTD-Noida-2-to-6-years-100417004296?src=jobsearchDesk&sid=14957739745133&xp=10,Technical Recruiter - Corporate,Technical Recruiter - Corporate,IRIS SOFTWARE PVT LTD,Noida,2-6 yrs,IT Recruitment Technical Recruitment Salary Negotiation Sourcing Hiring...,"The ideal candidate must have    	At least 2-6 years of experience as a IT Recruiter for ...",Not disclosed
735,https://www.naukri.com/job-listings-SPT-Applications-Developer-Mumbai-JPMorgan-Chase-Mumbai-5-to-10-years-260417900604?src=jobsearchDesk&sid=14957739745133&xp=11,SPT Applications Developer - Mumbai,SPT Applications Developer - Mumbai,JPMorgan Chase,Mumbai,5-10 yrs,Cobol JCL Cics Application development Coding Debugging...,   Application Developer Mainframe - Mumbai COSMIC AD         J.P. Morgan s Corporate &amp; ...,Not disclosed
736,https://www.naukri.com/job-listings-Senior-Sales-Manager-Compton-Infotech-Pvt-Ltd-Delhi-NCR-3-to-4-years-260417001372?src=jobsearchDesk&sid=14957739745133&xp=12,Senior Sales Manager,Senior Sales Manager,Compton Infotech Pvt. Ltd.,Delhi NCR,3-4 yrs,Corporate Sales Sales Planning Selling Customer Focus...,"THE CANDIDATE SHOULD BE WELL VERSED IN  IT SALES  	Should have minimum experience of 2-3 yrs ...",Not disclosed
737,https://www.naukri.com/job-listings-Trainee-Software-Engineer-Guru-Gowri-Krupa-Technologies-Private-Limited-Hyderabad-Uppal-0-to-0-years-220317008037?src=jobsearchDesk&sid=14957739745133&xp=13,Trainee Software Engineer,Trainee Software Engineer,Guru Gowri Krupa Technologies Private Limited,Hyderabad(Uppal),0-0 yrs,.Net Software Development Software Engineering Trainee fresher...,GGK Tech is calling for the candidates who can add much more value to our existing talent pool of Coders ...,Not disclosed
738,https://www.naukri.com/job-listings-Retail-Help-Desk-Consultant-ExxonMobil-Limited-Bengaluru-10-to-16-years-190317000683?src=jobsearchDesk&sid=14957739745133&xp=14,Retail Help Desk Consultant,Retail Help Desk Consultant,ExxonMobil Limited,Bengaluru,10-16 yrs,Technical Support IT Helpdesk Help Desk Help Desk Consultant retail...,,Not disclosed
739,https://www.naukri.com/job-listings-Software-Project-Trainee-2017-Pass-Out-Only-Comfyi-Solution-Chennai-0-to-0-years-171015005070?src=jobsearchDesk&sid=14957739745133&xp=15,Software Project Trainee - (2017 Pass Out Only),Software Project Trainee - (2017 Pass Out Only),Comfyi Solution,Chennai,0-0 yrs,Software Project Application Development pass outs fresh fresher...,,100000 - 200000 P.A.
740,https://www.naukri.com/job-listings-CIB-Transaction-Processing-Manager-Associate-JPMorgan-Chase-Mumbai-3-to-7-years-100517900096?src=jobsearchDesk&sid=14957739745133&xp=16,CIB - Transaction Processing Manager - Associate,CIB - Transaction Processing Manager - Associate,JPMorgan Chase,Mumbai,3-7 yrs,Testing Project management Information technology Test cases ISO...,KEY OBJECTIVES OF THE ROLE      User Testing Manager     The main purpose of this person is to ...,Not disclosed
741,https://www.naukri.com/job-listings-Application-Developer-JPMorgan-Chase-Mumbai-3-to-7-years-100517900066?src=jobsearchDesk&sid=14957739745133&xp=17,Application Developer,Application Developer,JPMorgan Chase,Mumbai,3-7 yrs,Oracle Hibernate Core Java JSP Web services jQuery Tomcat JMS...,J. P.  Morgan is a leading global financial services firm  established over 200 years ago:   o We ...,Not disclosed
742,https://www.naukri.com/job-listings-Application-Developer-JPMorgan-Chase-Mumbai-5-to-9-years-100517900065?src=jobsearchDesk&sid=14957739745133&xp=18,Application Developer,Application Developer,JPMorgan Chase,Mumbai,5-9 yrs,Oracle Hibernate Core Java JSP Web services jQuery Tomcat JMS...,JPMorgan Chase &amp; Co.   (NYSE: JPM)  is a leading global financial services firm with assets of $2. 6 ...,Not disclosed
743,https://www.naukri.com/job-listings-SR-IT-Recruiter-RELIASON-TECHNOLOGIES-PRIVATE-LIMITED-Delhi-NCR-4-to-6-years-100517004521?src=jobsearchDesk&sid=14957739745133&xp=19,SR IT Recruiter,SR IT Recruiter,RELIASON TECHNOLOGIES PRIVATE LIMITED,Delhi NCR,4-6 yrs,IT Recruitment technical recruitment information technology recruitment...,Hi    Greetings for the day!!!     We are looking for Sr. ...,Not disclosed
744,https://www.naukri.com/job-listings-CIB-Transaction-Processing-Manager-Associate-JPMorgan-Chase-Mumbai-7-to-10-years-080517901003?src=jobsearchDesk&sid=14957739745133&xp=20,CIB - Transaction Processing Manager - Associate,CIB - Transaction Processing Manager - Associate,JPMorgan Chase,Mumbai,7-10 yrs,Testing Project management Information technology Test cases ISO...,KEY OBJECTIVES OF THE ROLE    User Testing Manager   The main purpose of this person is to ...,Not disclosed
745,https://www.naukri.com/job-listings-Assc-Consultant-GD-Microsoft-India-R-and-D-Pvt-Ltd-Hyderabad-1-to-4-years-080517900847?src=jobsearchDesk&sid=14957739745133&xp=21,Assc Consultant GD,Assc Consultant GD,Microsoft India (R and D) Pvt Ltd,Hyderabad,1-4 yrs,Associate microsoft CMMI Information technology Cloud computing...,Microsoft India Global Delivery (iGD) which is part of Enterprise Services Delivery group is a delivery ...,Not disclosed
746,https://www.naukri.com/job-listings-Business-Development-Manager-Innoeye-Technologies-Indore-5-to-10-years-060517002801?src=jobsearchDesk&sid=14957739745133&xp=22,Business Development Manager,Business Development Manager,Innoeye Technologies,Indore,5-10 yrs,Business Development Management Lead Generation Presales...,Hi   Innoeye Technologies is looking to hire Business Development manager for Indore office. ...,550000 - 1500000 P.A.
747,https://www.naukri.com/job-listings-Head-Business-Development-Innoeye-Technologies-Indore-10-to-18-years-060517002463?src=jobsearchDesk&sid=14957739745133&xp=23,Head Business Development,Head Business Development,Innoeye Technologies,Indore,10-18 yrs,Business Development software sales software selling it sales...,Hi   Innoeye Technologies has an opportunity for Business Head. Detailed job description is ...,Not disclosed
