uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
60,https://www.naukri.com/job-listings-HR-Executive-Bglr-Work-Place-Devenahalli-Airport-Building-Control-Solutions-India-Pvt-Ltd-Bengaluru-0-to-1-years-030617000700?src=jobsearchDesk&sid=14965021135098&xp=10,HR Executive- Bglr. Work Place Devenahalli Airport,HR Executive- Bglr. Work Place Devenahalli Airport,Building Control Solutions India Pvt Ltd,Bengaluru,0-1 yrs,HR- PF- Joining Formalities- ESI- Leave- Grievance Handling- Salary..., ,125000 - 175000 P.A.,0
61,https://www.naukri.com/job-listings-Plant-HR-Manager-FREELANCER-BRIJESH-KUMAR-Chennai-Kolkata-Mumbai-1-to-3-years-030617000203?src=jobsearchDesk&sid=14965021135098&xp=11,Plant HR Manager,Plant HR Manager,FREELANCER BRIJESH KUMAR,Chennai- Kolkata- Mumbai,1-3 yrs,Human Resource Management- HR, ,Not disclosed,0
62,https://www.naukri.com/job-listings-Calling-MBA-Freshers-for-Core-HR-HR-Recruitment-Training-Tejus-Technocrats-Hyderabad-Visakhapatnam-0-to-2-years-030617000084?src=jobsearchDesk&sid=14965021135098&xp=12,Calling MBA Freshers for Core HR  HR Recruitment Training,Calling MBA Freshers for Core HR  HR Recruitment Training,Tejus Technocrats,Hyderabad- Visakhapatnam,0-2 yrs,HR- Training- Generalist Training- Recruitment Training- MBA HR- Fresher, ,Not disclosed,0
63,https://www.naukri.com/job-listings-MBA-HR-Freshers-Tejus-Technocrats-Hyderabad-0-to-1-years-030617000003?src=jobsearchDesk&sid=14965021135098&xp=13,MBA HR Freshers,MBA HR Freshers,Tejus Technocrats,Hyderabad,0-1 yrs,MBA- Human Resource Management- HR, ,Not disclosed,0
64,https://www.naukri.com/job-listings-HR-Executive-N-K-Buildcon-Pvt-Limited-Jaipur-3-to-8-years-030517004083?src=jobsearchDesk&sid=14965021135098&xp=14,HR Executive,HR Executive,N K Buildcon Pvt Limited,Jaipur,3-8 yrs,HR and Recruitment and IR-  hr executive and ir  -  hr generalist and ir  -..., ,250000 - 750000 P.A.,0
65,https://www.naukri.com/job-listings-HR-Executive-internship-Evision-Technoserve-Pvt-Ltd-Delhi-NCR-Katwaria-Sarai-1-Noida-0-to-0-years-020617004565?src=jobsearchDesk&sid=14965021135098&xp=15,HR Executive (internship),HR Executive (internship),Evision Technoserve Pvt Ltd,Delhi NCR(Katwaria Sarai+1)- Noida,0-0 yrs,Internship- HR- human resource- hr executive- recruitment- mba- bba- BA..., ,50000 - 100000 P.A. Incentive + Health Insurance,0
66,https://www.naukri.com/job-listings-Freelance-HR-Professional-HR-Services-Asansol-Bhagalpur-Bokaro-Dhanbad-Gaya-Jamshedpur-Muzaffarpur-Patna-Ranchi-0-to-5-years-050117008014?src=jobsearchDesk&sid=14965021135098&xp=16,Freelance HR Recruiters,Freelance HR Recruiters,Professional HR Services,Asansol- Bhagalpur- Bokaro- Dhanbad- Gaya- Jamshedpur- Muzaffarpur- Patna- Ranchi,0-5 yrs,placement partner- associates- HR recruiter- placment coordinator- Business..., ,Not disclosed,0
67,https://www.naukri.com/job-listings-Freelance-HR-Talent-Corner-HR-Services-Pvt-Ltd-Delhi-NCR-2-to-6-years-030617002799?src=jobsearchDesk&sid=14965021135098&xp=17,Freelance HR Recruiters,Freelance HR Recruiters,Talent  Corner HR Services Pvt Ltd,Delhi NCR,2-6 yrs,Recruitment- Hiring- HR- Freelancing- Part Time, ,Not disclosed,0
68,https://www.naukri.com/job-listings-Hiring-for-the-post-of-HR-Employee-Relation-Fix-Night-Shift-Excel-HR-Solutions-Private-Limited-Mumbai-1-to-2-years-030617002269?src=jobsearchDesk&sid=14965021135098&xp=18,Hiring for the post of HR Employee Relation Fix Night Shift,Hiring for the post of HR Employee Relation Fix Night Shift,Excel HR Solutions Private Limited,Mumbai,1-2 yrs,Hiring- HR- Employee relation- hr generalist- human resource, ,400000 - 450000 P.A.,0
69,https://www.naukri.com/job-listings-Regional-HR-Madura-Microfinance-Ltd-Cuddalore-Madurai-1-to-5-years-030617003455?src=jobsearchDesk&sid=14965021135098&xp=19,Regional HR,Regional HR,Madura Microfinance Ltd,Cuddalore- Madurai,1-5 yrs,HR Generalist- HR and Recruitment, ,Not disclosed,0
70,https://www.naukri.com/job-listings-Human-Resources-and-Recruitment-Officers-Prime-T-Canada-1-to-5-years-161215001821?src=jobsearchDesk&sid=14965021135098&xp=21,Human Resources and Recruitment Officers,Human Resources and Recruitment Officers,Prime T.,Canada,1-5 yrs,Selection- HR- Recruitment- Personnel, ,2000000 - 2750000 P.A.,0
71,https://www.naukri.com/job-listings-Sr-Mgr-HR-Admin-delhi-The-Placer-Delhi-15-to-20-years-030617004109?src=jobsearchDesk&sid=14965021135098&xp=22,Sr. Mgr. HR& Admin (delhi),Sr. Mgr. HR& Admin (delhi),The Placer,Delhi,15-20 yrs,HR Administration- IR- Interviewing- HR & IR-  hr & industrial relation, ,1500000 - 1900000 P.A.,0
72,https://www.naukri.com/job-listings-Chief-Manager-DGM-HR-Learning-Development-Edgjein-Mumbai-10-to-20-years-030617002943?src=jobsearchDesk&sid=14965021135098&xp=23,Chief Manager/  DGM - HR Learning & Development,Chief Manager/  DGM - HR Learning & Development,Edgjein,Mumbai,10-20 yrs,HR Generalist Activities- Training- Learning, ,1200000 - 1700000 P.A.,0
73,https://www.naukri.com/job-listings-Manager-Legal-Compliance-HR-G-K-Placements-Mumbai-Churchgate-5-to-10-years-030617002853?src=jobsearchDesk&sid=14965021135098&xp=24,Manager - Legal - Compliance - ( HR ),Manager - Legal - Compliance - ( HR ),G K Placements,Mumbai(Churchgate),5-10 yrs,Legal Notices- Legal Compliance- Drafting- HR- Labor Laws- HR Compliance..., ,Not disclosed,0
74,https://www.naukri.com/job-listings-HR-Admin-Executive-Atgaon-mumbai-pharmaAdds-Mumbai-Atgaon-Mumbai-Suburbs-1-to-4-years-030617001442?src=jobsearchDesk&sid=14965021135098&xp=25,HR cum Admin Executive - Atgaon (mumbai),HR cum Admin Executive - Atgaon (mumbai),pharmaAdds,Mumbai(Atgaon)- Mumbai Suburbs,1-4 yrs,HR Administration- Recruitment- Payroll- IR- Admin Executive..., ,50000 - 200000 P.A.,0
75,https://www.naukri.com/job-listings-HR-Executive-RuFuTech-System-Pvt-Ltd-Coimbatore-2-to-3-years-270117000199?src=jobsearchDesk&sid=14965021135098&xp=26,HR Executive,HR Executive,RuFuTech System Pvt Ltd,Coimbatore,2-3 yrs,HR and Recruitment and IR- hr executive and ir ..., ,Not disclosed,0
76,https://www.naukri.com/job-listings-HR-Executive-HR-Generalist-Only-Male-Crystal-Fact-Ahmedabad-Makarba-2-to-6-years-241016005101?src=jobsearchDesk&sid=14965021135098&xp=27,HR Executive HR Generalist ( Only Male),HR Executive HR Generalist ( Only Male),Crystal Fact,Ahmedabad(Makarba),2-6 yrs,HR and Recruitment and IR- hr executive- hr generalist- hr officer..., ,100000 - 225000 P.A.,0
77,https://www.naukri.com/job-listings-Manager-Human-Resources-for-Canada-Prime-T-Canada-1-to-6-years-200715900936?src=jobsearchDesk&sid=14965021135098&xp=28,Manager Human Resources for Canada,Manager Human Resources for Canada,Prime T.,Canada,1-6 yrs,Personnel- HR- Organizing- Monitoring, ,35000 - 45000 P.A.,0
78,https://www.naukri.com/job-listings-Human-Resources-Professionals-Prime-T-Canada-1-to-4-years-161215001621?src=jobsearchDesk&sid=14965021135098&xp=29,Human Resources Professionals,Human Resources Professionals,Prime T.,Canada,1-4 yrs,HR- Labour Relations- Personnel- Policies- Procedures, ,2000000 - 2750000 P.A.,0
79,https://www.naukri.com/job-listings-Human-Resources-Managers-oppor-in-Quebec-Canada-on-Basis-of-P-R-VISA-Prime-T-Canada-1-to-5-years-151215005074?src=jobsearchDesk&sid=14965021135098&xp=30,Human Resources Managers.(oppor. in Quebec Canada on Basis of P R VISA,Human Resources Managers.(oppor. in Quebec Canada on Basis of P R VISA,Prime T.,Canada,1-5 yrs,Recruitment- HR Planning- Policies- Personnel- Procedures- functions, ,2250000 - 2750000 P.A.,0
80,https://www.naukri.com/job-listings-HR-Recruiter-Recruitment-Executive-Noida-HueCanvas-Consulting-Delhi-NCR-Noida-0-to-1-years-090517003898?src=jobsearchDesk&sid=14965021135098&xp=31,HR Recruiter / Recruitment Executive - Noida,HR Recruiter / Recruitment Executive - Noida,HueCanvas Consulting,Delhi NCR- Noida,0-1 yrs,Recruitment- Screening- Shortlisting- HR- Hiring- Interviewing- Portal..., ,100000 - 125000 P.A. Incentives !!!,0
81,https://www.naukri.com/job-listings-HR-Recruiter-ANSEC-HUMAN-RESOURCE-SERVICES-PRIVATE-LIMITED-Pune-0-to-1-years-030617900553?src=jobsearchDesk&sid=14965021135098&xp=32,HR Recruiter.,HR Recruiter.,ANSEC HUMAN RESOURCE SERVICES PRIVATE LIMITED,Pune,0-1 yrs,Recruitment- Screening- Sourcing Profiles- Interview Coordination- HR..., ,Not disclosed,0
82,https://www.naukri.com/job-listings-HR-Executive-Abhiksha-Corporate-Solutions-Pvt-Ltd-Ahmedabad-Ghatlodia-0-to-3-years-030617004000?src=jobsearchDesk&sid=14965021135098&xp=33,HR Executive,HR Executive,Abhiksha Corporate Solutions Pvt Ltd,Ahmedabad(Ghatlodia),0-3 yrs,HR- Interviewing- recruitment, ,100000 - 250000 P.A. Best in Industry,0
83,https://www.naukri.com/job-listings-BMS-Fresher-HR-Recruiter-South-Mumbai-Western-Line-Hindco-Recruitment-Consultants-Mumbai-Mumbai-Suburbs-0-to-5-years-030617003135?src=jobsearchDesk&sid=14965021135098&xp=34,BMS Fresher | HR Recruiter @ South Mumbai | Western Line,BMS Fresher | HR Recruiter @ South Mumbai | Western Line,Hindco Recruitment Consultants,Mumbai- Mumbai Suburbs,0-5 yrs,HR- Conducting Interviews- Management- Executive Search- Sourcing- Fresher-..., ,Not disclosed,0
84,https://www.naukri.com/job-listings-HR-Generalist-Delhi-babita-Mcube-Consultants-Delhi-2-to-7-years-030617003011?src=jobsearchDesk&sid=14965021135098&xp=35,HR Generalist / Delhi /babita,HR Generalist / Delhi /babita,Mcube Consultants,Delhi,2-7 yrs,HR Generalist Activities- Administration- Payroll Processing- HR Policies..., ,200000 - 350000 P.A.,0
85,https://www.naukri.com/job-listings-Human-Resource-Executive-Apply-for-work-visa-for-Canada-Australia-Global-Connections-Australia-Canada-5-to-10-years-030617002186?src=jobsearchDesk&sid=14965021135098&xp=36,Human Resource Executive : Apply for work visa for Canada / Australia.,Human Resource Executive : Apply for work visa for Canada / Australia.,Global Connections,Australia- Canada,5-10 yrs,HR and Recruitment and IR- recruitment- human resource- placement manager..., ,2000000 - 3500000 P.A.,0
86,https://www.naukri.com/job-listings-Required-HR-Executives-Females-Candidates-in-MNC-Company-Off-Roll-SNEHA-SYNERGY-SOLUTIONS-PVT-LTD-Hyderabad-Thimmapur-2-to-3-years-030617002145?src=jobsearchDesk&sid=14965021135098&xp=37,Required HR - Executives Females Candidates in MNC Company (Off Roll),Required HR - Executives Females Candidates in MNC Company (Off Roll),SNEHA SYNERGY SOLUTIONS PVT LTD,Hyderabad(Thimmapur),2-3 yrs,Leave- General Administration- HR- MIS Reporting, ,Not disclosed,0
87,https://www.naukri.com/job-listings-Mega-Openings-for-HR-Executive-HR-Recruiter-9108797308-Titanium-Consulting-Surat-2-to-5-years-030617001878?src=jobsearchDesk&sid=14965021135098&xp=38,Mega Openings for HR Executive/ HR Recruiter @ 9108797308,Mega Openings for HR Executive/ HR Recruiter @ 9108797308,Titanium Consulting,Surat,2-5 yrs,HR Administration- Recruitment- Gratuity- Bonus- PF- ESIC- Leave- Salary..., ,300000 - 700000 P.A. Insentives & Bonus,0
88,https://www.naukri.com/job-listings-Human-Resource-Generalist-D-Square-Technologies-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-0-to-5-years-030617001533?src=jobsearchDesk&sid=14965021135098&xp=39,Human Resource Generalist,Human Resource Generalist,D Square Technologies,Delhi NCR- Mumbai- Bengaluru- Chennai- Hyderabad- Pune,0-5 yrs,HR- Training- Employee Orientation- Employee Welfare- Personnel- p&a; ..., ,Not disclosed,0
89,https://www.naukri.com/job-listings-HR-Generalist-HR-Executive-HR-Recruiter-D-Square-Technologies-Bengaluru-Mysore-Mangalore-Shimoga-Kolkata-Alappuzha-0-to-5-years-030617001520?src=jobsearchDesk&sid=14965021135098&xp=40,HR Generalist / HR Executive / HR Recruiter,HR Generalist / HR Executive / HR Recruiter,D Square Technologies,Bengaluru- Mysore- Mangalore- Shimoga- Kolkata- Alappuzha,0-5 yrs,HR Generalist Activities- Recruitment- Job- HR Job- MBA Freshers..., ,Not disclosed,0
90,https://www.naukri.com/job-listings-Hiring-for-Grad-ug-dropout-mba-HR-Freshers-for-Recruitment-Profile-The-Vertical-Delhi-0-to-2-years-030617001122?src=jobsearchDesk&sid=14965021135098&xp=41,Hiring for Grad/ug/dropout/mba HR Freshers for Recruitment Profile,Hiring for Grad/ug/dropout/mba HR Freshers for Recruitment Profile,The Vertical Recruiters,Delhi,0-2 yrs,Recruitment- Hiring- Hr Mba- Executive Search- Communication Skills..., ,100000 - 150000 P.A.,0
91,https://www.naukri.com/job-listings-HR-Recruiter-TALENT-SHOP-Hyderabad-0-to-1-years-030617000561?src=jobsearchDesk&sid=14965021135098&xp=42,HR Recruiter,HR Recruiter,TALENT SHOP,Hyderabad,0-1 yrs,Recruitment- HR- human resource- hr executive- hr fresher- hr recruiter- hr..., ,Not disclosed,0
92,https://www.naukri.com/job-listings-HR-Executive-Career-Bright-Pvt-Ltd-Lucknow-1-to-3-years-030617000398?src=jobsearchDesk&sid=14965021135098&xp=43,HR Executive,HR Executive,Career Bright Recruiters Pvt Ltd,Lucknow,1-3 yrs,Recruitment- HR- hr executive - human resource - recruitment ..., ,Not disclosed,0
93,https://www.naukri.com/job-listings-Talent-Acquisition-Hr-Executive-Recruiter-Conviction-Global-Mumbai-Mumbai-Suburbs-Thane-0-to-5-years-030617000177?src=jobsearchDesk&sid=14965021135098&xp=44,Talent Acquisition / Hr Executive / Recruiter,Talent Acquisition / Hr Executive / Recruiter,Conviction Global,Mumbai- Mumbai Suburbs- Thane,0-5 yrs,HR- Talent Acquisition- recruitment- hiring- sourcing- talent management..., ,100000 - 300000 P.A.,0
94,https://www.naukri.com/job-listings-HR-Executive-Aarcellor-Staffing-Mundra-3-to-6-years-030617000026?src=jobsearchDesk&sid=14965021135098&xp=45,HR Executive,HR Executive,Aarcellor Staffing,Mundra,3-6 yrs,HR and Recruitment and IR- HR- Human Resources- Human Resource..., ,250000 - 300000 P.A.,0
95,https://www.naukri.com/job-listings-Hiring-FOR-HR-Recruiter-upto16k-HUGE-Incentives-day-Shift-Galaxy-Consultants-Delhi-Uttam-Nagar-0-to-2-years-020617000010?src=jobsearchDesk&sid=14965021135098&xp=46,Hiring FOR HR Recruiter-upto16k + HUGE Incentives-day Shift,Hiring FOR HR Recruiter-upto16k + HUGE Incentives-day Shift,Galaxy Consultants,Delhi(Uttam Nagar),0-2 yrs,Recruitment- Hiring- HR- Salary- Incentives- International BPO, ,150000 - 175000 P.A. huge incentive,0
96,https://www.naukri.com/job-listings-HR-Executive-Sai-Management-Consultancy-Ahmedabad-Navrangpura-0-to-1-years-020317007986?src=jobsearchDesk&sid=14965021135098&xp=47,HR Executive,HR Executive,Sai Management Consultancy,Ahmedabad(Navrangpura),0-1 yrs,Recruitment- Talent Acquisition- HR- Selection Process- Hiring- Sourcing..., ,80000 - 125000 P.A.,0
97,https://www.naukri.com/job-listings-HR-Executive-Private-University-Meerut-Itanagar-arunanchal-Pra-A-Ratis-Itanagar-Meerut-2-to-4-years-010617005912?src=jobsearchDesk&sid=14965021135098&xp=48,HR Executive - Private University - Meerut & Itanagar (arunanchal Pra),HR Executive - Private University - Meerut & Itanagar (arunanchal Pra),A-Ratis,Itanagar- Meerut,2-4 yrs,Recruitment- HR- HR Executive, ,175000 - 250000 P.A.,0
98,https://www.naukri.com/job-listings-Sr-Executive-HR-Analytics-A-well-Known-Retail-Company-Bridging-Talents-Mumbai-2-to-5-years-010617005618?src=jobsearchDesk&sid=14965021135098&xp=49,Sr. Executive - HR Analytics - A well Known Retail Company,Sr. Executive - HR Analytics - A well Known Retail Company,Bridging Talents,Mumbai,2-5 yrs,HR-  Employee Communication-  Recognition-  Performance Management-  Talent..., ,600000 - 700000 P.A.,0
99,https://www.naukri.com/job-listings-HR-Freshers-HR-Executive-HR-Manager-Metier-HR-Services-metierjobs-in-Indore-Korba-Ratlam-Rewa-Satna-Ujjain-0-to-3-years-311015001417?src=jobsearchDesk&sid=14965021135098&xp=50,HR Freshers ++ HR Executive ++ HR Manager ++ Metier HR Services,HR Freshers ++ HR Executive ++ HR Manager ++ Metier HR Services,metierjobs.in,Indore- Korba- Ratlam- Rewa- Satna- Ujjain,0-3 yrs,MBA- HR- Freshers- Fresher- Human- BBA- Recruiter- Generalist- IR, ,Not disclosed,0
100,https://www.naukri.com/job-listings-HR-Recruiter-FFS-Consultancy-Indore-Ratlam-Ujjain-0-to-1-years-190517004497?src=jobsearchDesk&sid=14965021156314&xp=1,HR Recruiter,HR Recruiter,FFS Consultancy,Indore- Ratlam- Ujjain,0-1 yrs,Recruitment- HR- MS Office- Excel- word- mis- budgeting - mis executive ..., ,80000 - 150000 P.A.,0
101,https://www.naukri.com/job-listings-Executive-Asst-Manager-HR-Bird-Information-Technologies-Pvt-Ltd-Gurgaon-Udyog-Vihar-2-to-7-years-180517007049?src=jobsearchDesk&sid=14965021156314&xp=2,Executive / Asst Manager - HR,Executive / Asst Manager - HR,Bird Information Technologies Pvt Ltd,Gurgaon(Udyog Vihar),2-7 yrs,talent acquisition- hiring- sourcing- recruitment- bulk hiring...,Handling end to end recruitment for all process (Voice & Non-voice) Travel & non travel. ...,200000 - 550000 P.A.,1
102,https://www.naukri.com/job-listings-Urgent-Requirement-of-HR-Executive-Vadodara-Skynet-Placements-Vadodara-0-to-1-years-030617001017?src=jobsearchDesk&sid=14965021156314&xp=3,Urgent Requirement of HR Executive - Vadodara,Urgent Requirement of HR Executive - Vadodara,Skynet Placements,Vadodara,0-1 yrs,Fresher- HR- Recruitment, ,50000 - 100000 P.A.,0
103,https://www.naukri.com/job-listings-Sap-hr-Professionals-Accenture-Solutions-Pvt-Ltd-Pune-2-to-7-years-301216900580?src=jobsearchDesk&sid=14965021156314&xp=4,Sap-hr Professionals,Sap-hr Professionals,Accenture Solutions Pvt Ltd,Pune,2-7 yrs,SAP HR- SAP HCM- PMS- OM- PA- HRM- SAP, ,Not disclosed,1
104,https://www.naukri.com/job-listings-HR-Freshers-HR-Executive-HR-Manager-Metier-HR-Services-metierjobs-in-Delhi-NCR-Haldwani-Rudrapur-0-to-3-years-010714000479?src=jobsearchDesk&sid=14965021156314&xp=5,HR Freshers ++ HR Executive ++ HR Manager ++ Metier HR Services,HR Freshers ++ HR Executive ++ HR Manager ++ Metier HR Services,metierjobs.in,Delhi NCR- Haldwani- Rudrapur,0-3 yrs,MBA- HR- Freshers- Fresher- Human- BBA- Recruiter- Generalist- IR, ,Not disclosed,0
105,https://www.naukri.com/job-listings-Willis-Towers-Watson-Hiring-HR-WTW-Global-Delivery-and-Solutions-India-Private-Limited-l-Mumbai-1-to-3-years-020617005130?src=jobsearchDesk&sid=14965021156314&xp=6,Willis Towers Watson- Hiring HR Recruiters,Willis Towers Watson- Hiring HR Recruiters,WTW Global Delivery and Solutions India Private Limited l,Mumbai,1-3 yrs,Hiring- Employee Referral- Interviewing- Recruitment- Sourcing...,"    Specific functional responsibilities:    	Client/BU Meetings - Meeting with ...",Not disclosed,1
